instrument_id,type,risk_category,ticker_statement,ticker_current,cnpj,official_name,statement_name,display_name,pricing_source,pricing_frequency,maturity_date,validated,note
LREN3,stock,equity_direct,LREN3,LREN3,,LOJAS RENNER S.A.,LREN3,LREN3,yfinance,daily,,FALSE,
MRFG3,stock,equity_direct,MRFG3,MBRF3,,MARFRIG GLOBAL FOODS S.A.,MRFG3,MRFG3,yfinance,daily,,FALSE,Ticker passou a MBRF3 em 23/09/2025 (incorporacao BRF). MRFG3.SA retorna 404 no vendor: historico e indexado pelo simbolo ATUAL mesmo para datas antigas. Ver corporate_actions.csv.
AZZA3,stock,equity_direct,ARZZ3,AZZA3,,AZZAS 2154 S.A.,ARZZ3,AZZA3 (ex-ARZZ3),yfinance,daily,,FALSE,"Ex-ARZZ3 (incorporacao do Grupo Soma em 01/08/2024). AZZA3.SA tem serie continua pre-fusao -> troca 1:1, 193 acoes inalteradas. Ver corporate_actions.csv."
HAPV3,stock,equity_direct,HAPV3,HAPV3,,HAPVIDA PARTICIPACOES E INVESTIMENTOS S.A.,HAPV3,HAPV3,yfinance,daily,,FALSE,ATENCAO: grupamento 15:1 em maio/2025. Yahoo retroajusta o historico - preco publicado e 15x o negociado em abr/2025. Dividir por 15 para valor de posicao. Ver corporate_actions.csv.
FUND_RIZA_LOTUS,fund,credit_fund,,,43917493000131,RIZA LOTUS PLUS ADVISORY FI FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA,Riza Lotus Plus Advisory FIC FIRF REF DI CP,Riza Lotus Plus Advisory,cvm_inf_diario,daily,,TRUE,Gestor: RIZA LIQUIDOS. Admin: BTG. Adaptado RCVM175 em 24/03/2024.
FUND_BRAVE_I,fund,fidc_senior,,,35726300000137,BRAVE 90 FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITORIOS,Brave I FIC FIM CP,Brave I (FIDC),cvm_inf_mensal_fidc,monthly,,TRUE,"MESMO FUNDO, RENOMEADO E RECLASSIFICADO. Constituido 31/01/2020; re-registrado 05/11/2024 com a adaptacao RCVM175. CLASSE_UNICA=S; duas subclasses no informe, mas 'Subclasse Subordinada Subordinada 1' esta zerada (0 cotas) - a viva e 'Subclasse Senior Serie 1'. FONTE DO RETORNO: inf_mensal_fidc_tab_X_3 -> TAB_X_VL_RENTAB_MES, filtrando TAB_X_CLASSE_SERIE. NAO usar a razao de TAB_X_VL_COTA: vem arredondado a 2 casas (1,76 -> 1,78) e da 1,1364% em vez de 1,19%. Conferencia independente: tab_IV.TAB_IV_A_VL_PL / tab_X_2.TAB_X_QT_COTA = 1,756606428186614 -> 1,7775390055854572 = 1,1916486848%, bate com o reportado."
FUND_TREND_INB,fund,fixed_income_fund,,,37910132000160,TREND INB FUNDO DE INVESTIMENTO EM COTAS RENDA FIXA SIMPLES RESPONSABILIDADE LIMITADA,Trend Investback FIC FIRF Simples,Trend Investback,cvm_inf_diario,daily,,TRUE,Gestor: XP VISTA. Admin: XP INVESTIMENTOS.
FUND_TRUXT_LB,fund,long_biased_fund,,,30830162000118,TRUXT LONG BIAS ADVISORY FIF EM COTAS DE FI FINANCEIROS MULTIMERCADOS RESPONSABILIDADE LIMITADA,Truxt Long Bias Advisory FIC FIM,Truxt Long Bias,cvm_inf_diario,daily,,TRUE,Gestor: TRUXT INVESTIMENTOS. Admin: BTG.
FUND_STK_LB,fund,equity_fund,,,12282747000169,STK LONG BIASED FIC DE FUNDOS DE INVESTIMENTO FINANCEIRO DE ACOES - RESPONSABILIDADE LIMITADA,STK Long Biased FIC FIA,STK Long Biased,cvm_inf_diario,daily,,TRUE,Gestor: STK CAPITAL. Admin: BNY MELLON.
FUND_CONSTELLATION,fund,equity_fund,,,34462109000162,CONSTELLATION INSTITUCIONAL ADVISORY FI FINANCEIRO EM COTAS DE FI EM ACOES,Constellation Institucional Advisory FIC FIA,Constellation Institucional,cvm_inf_diario,daily,,TRUE,Gestor: CONSTELLATION INVESTIMENTOS. Admin: BTG.
FUND_IBIUNA_HEDGE,fund,multimarket_macro,,,30493349000173,IBIUNA HEDGE ST ADVISORY FIF - CLASSE DE INVESTIMENTO EM COTAS MULTIMERCADO - RESP LIMITADA,Ibiuna Hedge ST Advisory FIC FIM,Ibiuna Hedge ST,cvm_inf_diario,daily,,TRUE,"3 linhas no registro CVM = co-gestao (Ibiuna Macro / Ibiuna Acoes / Ibiuna Credito). Mesmo CNPJ, mesmo fundo. Deduplicar por CNPJ."
CDB_C6_SET2024,fixed_income,fixed_income_bank,,,,CDB BANCO C6 CONSIGNADO S.A. - SET/2024,CDB BANCO C6 CONSIGNADO S.A. - SET/2024,CDB Banco C6 (vencido),statement_carry,none,2024-09-05,FALSE,"IPCA+5,45%. Aplicacao 06/09/2021, VENCIMENTO 05/09/2024 - vencido 8 meses antes do extrato. Sem accrual defensavel em abr/2025."
CASH_BRL,cash,cash,,,,Saldo disponivel em conta,Saldo Disponivel,Saldo disponível,par,none,,TRUE,Caixa ocioso. Nao rende no extrato.
IBOV,index,benchmark,,^BVSP,,IBOVESPA,-,Ibovespa,yfinance,daily,,TRUE,Benchmark de renda variavel. Nao e posicao do cliente.
RF_POS_A,fixed_income,fixed_income_bank,,,,CDB pós-fixado — Emissor A,CDB pós-fixado — Emissor A,CDB pós-fixado — Emissor A,cdi_accrual,daily,,TRUE,"Renda fixa pos-fixada, emissor BB+ ou superior. Precificado pelo CDI acumulado."
RF_POS_B,fixed_income,fixed_income_bank,,,,CDB pós-fixado — Emissor B,CDB pós-fixado — Emissor B,CDB pós-fixado — Emissor B,cdi_accrual,daily,,TRUE,"Renda fixa pos-fixada, emissor BB+ ou superior. Precificado pelo CDI acumulado."
RF_POS_C,fixed_income,fixed_income_bank,,,,LCA pós-fixada — Emissor C,LCA pós-fixada — Emissor C,LCA pós-fixada — Emissor C,cdi_accrual,daily,,TRUE,"Renda fixa pos-fixada, emissor BB+ ou superior. Precificado pelo CDI acumulado."
